Table 9,,,,,,,,,,,,
"Higher education R&D expenditures, by source of funds and type of R&D: FYs 2010–22",,,,,,,,,,,,
(Dollars in Billions),,,,,,,,,,,,
Fiscal year,Total,,,,Federal,,,,Nonfederal,,,
,All R&D expenditures,Basic research,Applied research,Experimental development,All R&D expenditures,Basic research,Applied research,Experimental development,All R&D expenditures,Basic research,Applied research,Experimental development
2010,61.3,40.9,15.1,5.2,37.5,25.7,9.1,2.7,23.8,15.3,6,2.6
2011,65.3,43.5,16.3,5.5,40.8,27.7,10.2,2.9,24.5,15.8,6.1,2.7
2012,65.7,43.1,16.8,5.8,40.1,26.9,10.3,3,25.6,16.3,6.5,2.8
2013,67,44,16.9,6.1,39.4,26.4,10.1,3,27.5,17.6,6.9,3.1
2014,67.2,43.6,17.3,6.3,38,25.2,9.8,3,29.2,18.4,7.5,3.3
2015,68.5,44.4,17.5,6.6,37.8,25.2,9.7,2.9,30.7,19.1,7.8,3.7
2016,71.7,45.7,19.4,6.6,38.8,25.3,10.6,2.9,32.9,20.4,8.8,3.7
2017,75.1,47.2,20.8,7.1,40.2,26,11.2,3,34.9,21.2,9.6,4.1
2018,79,49.9,21.7,7.4,41.9,27.1,11.7,3.1,37.2,22.8,10.1,4.3
2019,83.5,52.7,23.1,7.7,44.5,28.8,12.4,3.3,39,23.9,10.7,4.4
2020,86.3,54.4,23.9,8.1,46.1,29.5,12.9,3.8,40.2,24.9,11,4.3
2021,89.7,56.2,24.8,8.7,49.1,31.3,13.7,4.1,40.6,24.9,11.1,4.6
2022,97.7,61.7,26.7,9.3,54,34.7,14.9,4.4,43.7,27,11.8,4.8
